iso_week,release_date,pos_date,net_pos,friday,twap_weekly,ret_1w,ret_2w,ret_4w,net_pos_chg,pos_pct,pos_z,pos_z52,regime
2022-W26,2022-07-01,2022-06-28,73943,2022-07-03,108.435,-0.0120348595933048,0.0280352284778899,0.109282058375986,794,0.228395061728395,-0.816452157755189,-1.41132731556164,Short (10-40th)
2022-W27,2022-07-08,2022-07-05,88821,2022-07-10,104.79,0.0347838534211279,0.0223303750357858,0.150539173585266,14878,0.425925925925926,-0.415425548710981,-0.880738684362136,Neutral (40-60th)
2022-W28,2022-07-15,2022-07-12,67833,2022-07-17,97.37,0.0762041696621136,0.113638697750847,0.144859813084112,-20988,0.179012345679012,-0.981143149908711,-1.56325501242482,Short (10-40th)
2022-W29,2022-07-22,2022-07-19,59679,2022-07-24,95.105,0.0238157825561222,0.101834814152779,0.126439198780295,-8154,0.0864197530864198,-1.20092880457644,-1.7904144822625,Extreme Short (<10th)
2022-W30,2022-07-29,2022-07-26,59084,2022-07-31,98.295,-0.0324533292639503,-0.00941044814080062,0.103158858538074,-595,0.0740740740740741,-1.2169666344179,-1.76713193862086,Extreme Short (<10th)
2022-W31,2022-08-05,2022-08-02,75209,2022-08-07,88.47666667,0.110970877402292,0.0749161737152954,0.184380062495408,16125,0.246913580246914,-0.782327968546292,-1.1633577702711,Short (10-40th)
2022-W32,2022-08-12,2022-08-09,60734,2022-08-14,91.875,-0.0369886620952381,0.0698775510204082,0.0598095238095239,-14475,0.111111111111111,-1.17249198023569,-1.64799733512473,Short (10-40th)
2022-W33,2022-08-19,2022-08-16,79622,2022-08-21,90.83,0.0115050093581416,-0.0259092076406473,0.0470659473742156,18888,0.296296296296296,-0.663378484360777,-0.906241505401118,Short (10-40th)
2022-W34,2022-08-26,2022-08-23,85893,2022-08-28,92.98,-0.0231232523123253,-0.0118842761884277,0.0571628307162831,6271,0.382716049382716,-0.494347844132506,-0.632889439034252,Short (10-40th)
2022-W35,2022-09-02,2022-08-30,81534,2022-09-04,86.98,0.0689813750287422,0.0442630489767762,0.0172070208093814,-4359,0.314814814814815,-0.611841794181148,-0.775433958428755,Short (10-40th)
2022-W36,2022-09-09,2022-09-06,69268,2022-09-11,86.1,0.0102206736353079,0.0799070847851337,0.0670731707317074,-12266,0.203703703703704,-0.942463677938121,-1.20850393181332,Short (10-40th)
2022-W37,2022-09-16,2022-09-13,68709,2022-09-18,85.345,0.00884644677485495,0.0191575370554808,0.0642685570332181,-559,0.191358024691358,-0.957531151688337,-1.19213692850927,Short (10-40th)
2022-W38,2022-09-23,2022-09-20,74850,2022-09-25,79.375,0.0752125984251968,0.0847244094488188,0.17140157480315,6141,0.240740740740741,-0.792004575122907,-0.924754051712423,Short (10-40th)
2022-W39,2022-09-30,2022-09-27,86913,2022-10-02,79.705,-0.00414026723543063,0.0707609309328148,0.0912740731447212,12063,0.401234567901235,-0.466854421547139,-0.446433973259706,Neutral (40-60th)
2022-W40,2022-10-07,2022-10-04,83123,2022-10-09,93.255,-0.145300520079352,-0.148839204332207,-0.0767251085732669,-3790,0.339506172839506,-0.569011354486885,-0.565523537537683,Short (10-40th)
2022-W41,2022-10-14,2022-10-11,81731,2022-10-16,85.59,0.0895548545390816,-0.06875803248043,-0.00286248393503919,-1392,0.320987654320988,-0.606531790015151,-0.596730901410369,Short (10-40th)
2022-W42,2022-10-21,2022-10-18,103566,2022-10-23,85.125,0.00546255506607934,0.0955066079295154,-0.0675477239353891,21835,0.567901234567901,-0.0179838663372186,0.257444726864215,Neutral (40-60th)
2022-W43,2022-10-28,2022-10-25,95396,2022-10-30,88.32,-0.0361752717391304,-0.0309103260869564,-0.0975430253623188,-8170,0.475308641975309,-0.238200790378835,-0.0316194793053308,Neutral (40-60th)
2022-W44,2022-11-04,2022-11-01,85396,2022-11-05,92.5421917,-0.0456245051304527,-0.0801492979985255,0.00770252235121875,-10000,0.37037037037037,-0.507744149058905,-0.395155814434902,Short (10-40th)
2022-W46,2022-11-14,2022-11-08,89134,2022-11-19,79.9577588787292,0.111639749939716,0.157388513607008,0.0646246367298497,3738,0.432098765432099,-0.406988841584295,-0.218326949799759,Neutral (40-60th)
2022-W46,2022-11-18,2022-11-15,111976,2022-11-19,79.9577588787292,0.111639749939716,0.157388513607008,0.0646246367298497,22842,0.648148148148148,0.20870209831272,0.777599075830356,Long  (60-90th)
2022-W47,2022-11-25,2022-11-22,105312,2022-11-25,78.4983034149279,0.0185921911724239,0.132307568685461,0.125119858108988,-6664,0.592592592592593,0.0290784040883216,0.539660841175862,Neutral (40-60th)
2022-W48,2022-12-02,2022-11-29,99942,2022-12-03,80.1406509368509,-0.0204933139764119,-0.00228213841519397,0.154747192818802,-5370,0.524691358024691,-0.115666379522876,0.374419751918722,Neutral (40-60th)
2022-W49,2022-12-09,2022-12-06,87639,2022-12-10,71.3329038944199,0.123473832713545,0.100450130715463,0.246048011970023,-12303,0.407407407407407,-0.447285573706965,-0.175939706043348,Neutral (40-60th)
2022-W50,2022-12-16,2022-12-13,85076,2022-12-17,74.297814729558,-0.0399057609692872,0.078640754490029,0.0761791469880135,-2563,0.364197530864198,-0.516369536536667,-0.270749923617981,Short (10-40th)
2022-W51,2022-12-23,2022-12-20,75519,2022-12-24,79.5542051527624,-0.066073068206903,-0.103342133109818,-0.013272733173651,-9557,0.259259259259259,-0.77397212442721,-0.752330673056717,Short (10-40th)
2022-W52,2022-12-30,2022-12-27,78616,2022-12-31,80.25407221,-0.00872064230468231,-0.07421751091778,-0.00141327748269714,3097,0.283950617283951,-0.690494546243992,-0.557143069271765,Short (10-40th)
2023-W01,2023-01-06,2023-01-03,88767,2023-01-07,73.7090557476243,0.0887952829674751,0.0793002887616904,-0.0322369053449852,10151,0.419753086419753,-0.416881082847854,0.0138244840783087,Neutral (40-60th)
2023-W02,2023-01-13,2023-01-10,75904,2023-01-14,79.8863412080663,-0.0773259278999031,0.00460317741897754,-0.0699559698691519,-12863,0.265432098765432,-0.763594705118027,-0.670780579144097,Short (10-40th)
