iso_week,friday,twap_weekly,n_days,ret_1w,ret_2w,ret_4w
2022-W06,2022-02-12,93.589565820884,6,-0.0145835875912238,-0.0699990003819904,-0.101444851287276
2022-W07,2022-02-19,91.4828879802763,6,0.0230281081753987,0.00810868815153886,-0.0728354701743444
2022-W08,2022-02-26,91.9391203468508,6,-0.00496233121279954,0.0179515038626287,-0.0533040838450992
2022-W09,2022-03-05,115.15769349779,6,-0.201624159408723,-0.205585964762034,-0.199144309087084
2022-W10,2022-03-13,108.94,7,0.0570744767559213,-0.156057276052407,-0.140907234983624
2022-W11,2022-03-20,105.6076923,7,0.0315536456429131,0.0904290302136454,-0.133747873967356
2022-W12,2022-03-27,112.615,7,-0.0622235732362474,-0.0326333081738667,-0.183597919044081
2022-W13,2022-04-03,99.38,7,0.133175689273496,0.0626654487824512,0.158761254757397
2022-W14,2022-04-10,97.975,7,0.0143403929573871,0.149425873947436,0.111916305179893
2022-W15,2022-04-17,106.65625,6,-0.081394667447993,-0.068221506006446,-0.0098311885145034
2022-W16,2022-04-24,101.44,7,0.0514220228706625,-0.0341581230283912,0.110163643533123
2022-W17,2022-05-01,104.525,7,-0.0295144702224349,0.0203898588854341,-0.0492226740014352
2022-W18,2022-05-08,110.74125,7,-0.0561331030668336,-0.0839908344903096,-0.115279988260924
2022-W19,2022-05-15,110.205,7,0.00486593167279157,-0.051540311238147,-0.0322013520257701
2022-W20,2022-05-22,110.32,6,-0.00104242204496007,0.00381843727338652,-0.0804931109499637
2022-W21,2022-05-29,115.004,7,-0.0407290181211089,-0.04172898333971,-0.0911185697888769
2022-W22,2022-06-05,120.285,7,-0.0439040611880117,-0.0828449100054039,-0.0793428108242923
2022-W23,2022-06-12,120.565,7,-0.00232239870609216,-0.0461244971592087,-0.0859287521254095
2022-W24,2022-06-19,111.475,7,0.0815429468490693,0.079031172908724,-0.0103610675039247
2022-W25,2022-06-26,107.13,7,0.0405582003173714,0.125408382339214,0.0734994866050594
2022-W26,2022-07-03,108.435,7,-0.0120348595933048,0.0280352284778899,0.109282058375986
2022-W27,2022-07-10,104.79,7,0.0347838534211279,0.0223303750357858,0.150539173585266
2022-W28,2022-07-17,97.37,7,0.0762041696621136,0.113638697750847,0.144859813084112
2022-W29,2022-07-24,95.105,7,0.0238157825561222,0.101834814152779,0.126439198780295
2022-W30,2022-07-31,98.295,7,-0.0324533292639503,-0.00941044814080062,0.103158858538074
2022-W31,2022-08-07,88.47666667,7,0.110970877402292,0.0749161737152954,0.184380062495408
2022-W32,2022-08-14,91.875,7,-0.0369886620952381,0.0698775510204082,0.0598095238095239
2022-W33,2022-08-21,90.83,7,0.0115050093581416,-0.0259092076406473,0.0470659473742156
2022-W34,2022-08-28,92.98,7,-0.0231232523123253,-0.0118842761884277,0.0571628307162831
2022-W35,2022-09-04,86.98,7,0.0689813750287422,0.0442630489767762,0.0172070208093814
