release_date,twap,pos_z,ret_4w,prob_state1,state
2022-01-21,84.819688821326,0.0549006578498723,-0.130248744299877,1e-04,2
2022-01-28,87.0383897672376,0.143607377191483,-0.134097210860551,1e-04,2
2022-02-04,92.2246941901105,-0.120329479628041,-0.14427645583218,1e-04,2
2022-02-11,93.589565820884,-0.0402751021000603,-0.101444851287276,1e-04,2
2022-02-18,91.4828879802763,-0.258632176966785,-0.0728354701743444,4e-04,2
2022-02-25,91.9391203468508,0.042339937335381,-0.0533040838450992,0.0012,2
2022-03-04,115.15769349779,0.543205406434686,-0.199144309087084,0.0026,2
2022-03-11,108.94,0.609027894624359,-0.140907234983624,0,2
2022-03-18,105.6076923,0.375495528663947,-0.133747873967356,1e-04,2
2022-03-25,112.615,0.515145942796091,-0.183597919044081,1e-04,2
2022-04-01,99.38,0.0664101592655112,0.158761254757397,0.0015,2
2022-04-08,97.975,-0.0332669747743785,0.111916305179893,1,1
2022-04-18,101.44,-0.182540086811401,0.110163643533123,1,1
2022-04-22,101.44,-0.089493719395041,0.110163643533123,1,1
2022-04-29,104.525,-0.245855821765349,-0.0492226740014352,0.9995,1
2022-05-06,110.74125,-0.190249026869651,-0.115279988260924,0.1308,2
2022-05-13,110.205,-0.418633114679274,-0.0322013520257701,0.0022,2
2022-05-20,110.32,-1.14405515589495,-0.0804931109499637,0.0073,2
2022-05-27,115.004,-0.731303410748155,-0.0911185697888769,0.0012,2
2022-06-03,120.285,-0.996345395338267,-0.0793428108242923,6e-04,2
2022-06-10,120.565,-1.06356950899308,-0.0859287521254095,0.0017,2
2022-06-17,111.475,-1.37809965423685,-0.0103610675039247,0.0178,2
2022-06-24,107.13,-0.837853900434386,0.0734994866050594,0.4932,2
2022-07-01,108.435,-0.816452157755189,0.109282058375986,0.9958,1
2022-07-08,104.79,-0.415425548710981,0.150539173585266,1,1
2022-07-15,97.37,-0.981143149908711,0.144859813084112,1,1
2022-07-22,95.105,-1.20092880457644,0.126439198780295,1,1
2022-07-29,98.295,-1.2169666344179,0.103158858538074,1,1
2022-08-05,88.47666667,-0.782327968546292,0.184380062495408,1,1
2022-08-12,91.875,-1.17249198023569,0.0598095238095239,1,1
2022-08-19,90.83,-0.663378484360777,0.0470659473742156,0.9996,1
2022-08-26,92.98,-0.494347844132506,0.0571628307162831,0.9991,1
2022-09-02,86.98,-0.611841794181148,0.0172070208093814,0.9994,1
2022-09-09,86.1,-0.942463677938121,0.0670731707317074,0.995,1
2022-09-16,85.345,-0.957531151688337,0.0642685570332181,0.9997,1
2022-09-23,79.375,-0.792004575122907,0.17140157480315,0.9997,1
2022-09-30,79.705,-0.466854421547139,0.0912740731447212,1,1
2022-10-07,93.255,-0.569011354486885,-0.0767251085732669,0.9979,1
2022-10-14,85.59,-0.606531790015151,-0.00286248393503919,0.1059,2
2022-10-21,85.125,-0.0179838663372186,-0.0675477239353891,0.0917,2
2022-10-28,88.32,-0.238200790378835,-0.0975430253623188,0.0115,2
2022-11-04,92.5421917,-0.507744149058905,0.00770252235121875,0.0197,2
2022-11-14,79.9577588787292,-0.406988841584295,0.0646246367298497,0.7149,1
2022-11-18,79.9577588787292,0.20870209831272,0.0646246367298497,0.9959,1
2022-11-25,78.4983034149279,0.0290784040883216,0.125119858108988,0.9997,1
2022-12-02,80.1406509368509,-0.115666379522876,0.154747192818802,1,1
2022-12-09,71.3329038944199,-0.447285573706965,0.246048011970023,1,1
2022-12-16,74.297814729558,-0.516369536536667,0.0761791469880135,1,1
2022-12-23,79.5542051527624,-0.77397212442721,-0.013272733173651,0.9981,1
2022-12-30,80.25407221,-0.690494546243992,-0.00141327748269714,0.7229,1
2023-01-06,73.7090557476243,-0.416881082847854,-0.0322369053449852,0.5189,1
2023-01-13,79.8863412080663,-0.763594705118027,-0.0699559698691519,0.1925,2
2023-01-20,81.6192400265573,-0.642327148047864,-0.0253008343758528,0.0951,2
2023-01-27,79.4667324251934,-0.470196759194771,0.00990779110677273,0.2912,2
2023-02-03,73.2760467524862,-0.480843721862634,0.00590928433408489,0.7308,1
2023-02-10,79.7901018260221,-0.703190038437824,0.00120615690219363,0.8792,1
2023-02-17,76.3632696020995,-1.09087425122737,0.0688285147014364,0.945,1
2023-02-24,76.466196949779,-0.501302062786451,0.0392400249404979,0.9982,1
2023-03-03,79.7657312847514,-0.778257863830223,-0.0813593059041615,0.9758,1
2023-03-10,76.65,-1.19324681885406,0.0409667557210971,0.6418,1
2023-03-17,66.285,-0.654995685905827,0.152044498787048,0.9777,1
2023-03-24,69.21,-0.0549652151481241,0.104843186675033,1,1
2023-03-31,75.685,-0.568499222105393,0.0539173057376149,1,1
2023-04-07,80.465,-1.19594225244086,-0.0474119182253153,0.9769,1
2023-04-14,82.68,-1.53357226352351,-0.198294629898404,0.1402,2
2023-04-21,77.95,-1.38543123359295,-0.112123155869147,4e-04,2
2023-04-28,76.65666667,-1.12898768214473,-0.0126755664211561,0.007,2
2023-05-05,71.355,-0.571949377096498,0.127671501646696,0.4617,2
2023-05-12,70.06333333,-0.939660427007849,0.180075170140353,0.9999,1
2023-05-19,71.91833333,-1.19769428427228,0.0838682765675822,1,1
2023-05-26,72.89,-0.829444147643568,0.0516760415694884,0.9999,1
2023-06-02,71.85,-0.541302297214574,-0.00688935281837147,0.9983,1
2023-06-09,70.30666667,-0.354320069298209,-0.00346102797252687,0.9653,1
2023-06-16,71.10875,-0.544563771854603,0.011385143600471,0.9629,1
2023-06-23,69.3929685263934,-0.795104323747727,0.0503946083856678,0.9808,1
2023-06-30,70.4707120570492,-0.594752745240832,0.0195724990239096,0.99,1
2023-07-07,73.6729669763935,-1.10060476647572,-0.0456924764204501,0.8429,1
2023-07-14,75.2475085286886,-1.43136142191203,-0.0550019344110326,0.142,2
2023-07-21,76.9013629114754,-1.61874796486642,-0.0976366881003818,0.0179,2
2023-07-28,80.5987463740984,-1.6681283081766,-0.125659948481581,9e-04,2
2023-08-04,82.6283059532787,-1.6525487020449,-0.108381006648605,2e-04,2
2023-08-11,83.0897175881968,-1.44691407370787,-0.0943824252523663,4e-04,2
2023-08-18,81.3393715301639,-0.969471922477864,-0.0545616290758124,8e-04,2
2023-08-25,80.0058596044262,-0.379252829976116,0.00741054183535547,0.0096,2
2023-09-01,85.9169178572132,-0.945913832929226,-0.0382766512807156,0.0656,2
2023-09-08,87.284446507377,-1.01966089586409,-0.0480581488114923,0.0201,2
2023-09-15,91.1529051488525,-1.1156991945618,-0.107660130005325,0.006,2
2023-09-22,90.3321478606557,-1.54791197020529,-0.11431465431508,5e-04,2
2023-09-29,90.8637637234427,-1.50508153051103,-0.0544424494816874,0.0018,2
2023-10-06,82.8033227457377,-1.29133364707774,0.0541176804631303,0.1098,2
2023-10-13,87.6831273891803,-0.992005747263518,0.0395717837968026,0.9722,1
2023-10-20,90.3342983681855,-0.0266631624867168,-2.3806102096117e-05,0.9952,1
2023-10-27,85.127741405082,0.0149812864293539,0.0673813521148848,0.9862,1
2023-11-03,80.8541332060656,0.591938845684043,0.0241074817375687,0.9996,1
2023-11-13,75.7570512737569,0.550617848798388,0.192420993812866,0.9969,1
2023-11-17,75.7570512737569,0.321775537279009,0.192420993812866,1,1
2023-11-24,76.4839538091855,0.489539323721485,0.113014392763497,1,1
2023-12-01,74.3054276217679,0.0167602725966424,0.08813226427593,1,1
