contract_code,delivery_month,expiry_date,n_days_with_data,price_source,covid_negative_price,M1M2_pre_baseline,M1M2_pre_vol,M1M2_entry,M1M2_expiry_week_mean,M1M2_expiry_week_end,M1M2_expiry_week_chg,M1M2_expiry_week_chg_pct,M1M2_on_expiry,M1M2_post_1d,M1M2_post_5d,M1M2_post_chg,M1M2_post_chg_pct,roll_compression,roll_reversion
CLK22,2022-05,2022-04-20,26,CL_data_TWAP,FALSE,0.472,0.1048,0.4257,0.6824,0.5508,0.1251,0.2939,0.4269,0.8165,0.8794,0.4525,1.0599,0.0788,0.3286
CLM22,2022-06,2022-05-20,26,CL_data_TWAP,FALSE,1.6699,0.31,2.1392,2.2962,2.1903,0.0511,0.0239,2.4878,4.2486,2.7593,0.2714,0.1091,0.5203,0.569
CLN22,2022-07,2022-06-21,26,CL_data_TWAP,FALSE,2.751,0.1476,1.9594,2.2637,1.5834,-0.376,-0.1919,1.3801,2.0307,3.035,1.6549,1.199,-1.1676,1.4516
CLQ22,2022-08,2022-07-20,26,CL_data_TWAP,FALSE,2.813,0.3341,2.9695,3.0231,3.2307,0.2612,0.088,3.5746,2.7256,2.355,-1.2196,-0.3412,0.4177,-0.8757
CLU22,2022-09,2022-08-22,26,CL_data_TWAP,FALSE,0.6485,0.0747,0.4114,0.7203,1.185,0.7736,1.8807,0.321,0.4716,0.76,0.439,1.3674,0.5365,-0.425
CLV22,2022-10,2022-09-20,26,CL_data_TWAP,FALSE,0.4054,0.0366,0.4322,0.3712,0.3575,-0.0747,-0.1729,0.3693,0.611,0.825,0.4557,1.234,-0.048,0.4675
CLX22,2022-11,2022-10-20,26,CL_data_TWAP,FALSE,1.2389,0.0895,1.0708,0.966,0.8504,-0.2204,-0.2058,1.1994,1.1956,0.9758,-0.2237,-0.1865,-0.3885,0.1254
CLZ22,2022-12,2022-11-18,26,CL_data_TWAP,FALSE,0.9494,0.1278,0.79,0.6448,0.5227,-0.2673,-0.3384,0.0201,-2.7335,-0.1344,-0.1545,-7.6759,-0.4268,-0.657
CLF23,2023-01,2022-12-19,26,CL_data_TWAP,FALSE,-0.1432,0.0621,-0.103,-0.1174,-0.32,-0.217,-2.106,-0.1983,-0.218,-0.1425,0.0558,0.2812,-0.1768,0.1775
CLG23,2023-02,2023-01-20,26,CL_data_TWAP,FALSE,-0.2508,0.0197,-0.2168,-0.2686,-0.3249,-0.1081,-0.4984,-0.2556,-0.1745,-0.2573,-0.0017,-0.0066,-0.0741,0.0676
