contract_code,expiry_date,delivery_month,n_days_with_data,price_source,covid_negative_price,M1M2_pre_baseline,M1M2_pre_vol,M1M2_entry,M1M2_expiry_week_mean,M1M2_expiry_week_end,M1M2_expiry_week_chg,M1M2_expiry_week_chg_pct,M1M2_on_expiry,M1M2_post_1d,M1M2_post_5d,M1M2_post_chg,M1M2_post_chg_pct,roll_compression,roll_reversion,cftc_releasedate,cftc_cutoff_date,cftc_net_long,cftc_days_before_expiry,pos_z_full,pos_z_roll52,pos_pct_full,pos_pct_roll52,mm_chg,mm_chg_z,extreme_long,extreme_short,mm_long,mm_short,ls_ratio
CLK19,2019-04-22,2019-05,0,unavailable,FALSE,,,,,,,,,,,,,,,2019-04-12,2019-04-09,196604,10,0.7683,-0.8226,0.7596,0.2549,945,0.0744,0,0,,,
CLK20,2020-04-21,2020-05,0,unavailable,TRUE,,,,,,,,,,,,,,,2020-04-13,2020-04-07,304572,8,2.278,1.8423,0.9908,0.9804,35666,2.3405,1,0,271865,91542,2.9698
CLK21,2021-04-20,2021-05,26,CL_data_TWAP,FALSE,-0.0604,0.0183,-0.0748,-0.0567,-0.0569,0.0179,0.2397,-0.056,0.0751,0.0783,0.1343,2.3993,0.0035,0.1352,2021-04-09,2021-04-06,177332,11,0.4989,-0.0647,0.6807,0.6275,1940,0.1394,0,0,,,
CLK22,2022-04-20,2022-05,26,CL_data_TWAP,FALSE,0.472,0.1048,0.4257,0.6824,0.5508,0.1251,0.2939,0.4269,0.8165,0.8794,0.4525,1.0599,0.0788,0.3286,2022-04-08,2022-04-05,102999,12,-0.5405,-1.2956,0.3817,0.1176,-3698,-0.2286,0,0,250332,44737,5.5956
CLK23,2023-04-20,2023-05,26,CL_data_TWAP,FALSE,0.0689,0.0649,0.08,0.0278,-0.0534,-0.1334,-1.6672,-0.0412,0.2367,0.1551,0.1963,4.7635,-0.1223,0.2085,2023-04-07,2023-04-04,59864,13,-1.1436,-1.5734,0.1119,0.0588,-23278,-1.5064,0,0,200741,34478,5.8223
CLK24,2024-04-22,2024-05,26,regime_labels_daily,FALSE,0.6157,0.0935,0.5209,1.1915,3.1817,2.6608,5.1081,1.2371,0.8149,0.7,-0.5371,-0.4342,2.566,-2.4817,2024-04-12,2024-04-09,75005,10,-0.9319,-0.0887,0.2239,0.5686,-10049,-0.6431,0,0,271319,49187,5.5161
CLK25,2025-04-22,2025-05,26,regime_labels_daily,FALSE,0.5425,0.0617,0.5742,0.7134,0.6516,0.0774,0.1348,0.6769,0.6771,0.6743,-0.0025,-0.0038,0.109,0.0228,2025-04-11,2025-04-08,91056,11,-0.7075,1.1539,0.3284,0.8627,24788,1.6305,0,0,155667,107128,1.4531
CLK26,2026-04-21,2026-05,26,regime_labels_daily,FALSE,6.2231,1.8531,3.1736,2.2799,1.7317,-1.4419,-0.4543,2.5917,4.5267,4.9202,2.3285,0.8985,-4.4914,3.1885,2026-04-10,2026-04-07,123453,11,-0.2545,1.9411,0.4642,0.9412,-16688,-1.0764,0,0,186768,108068,1.7282
CLM16,2016-05-20,2016-06,0,unavailable,FALSE,,,,,,,,,,,,,,,2016-05-13,2016-05-10,100229,7,-0.5792,,0.3688,,-5558,-0.35,0,0,,,
CLM17,2017-05-22,2017-06,0,unavailable,FALSE,,,,,,,,,,,,,,,2017-05-12,2017-05-09,212900,10,0.9962,2.8656,0.8092,1,2761,0.193,0,0,,,
CLM18,2018-05-22,2018-06,0,unavailable,FALSE,,,,,,,,,,,,,,,2018-05-11,2018-05-08,276807,11,1.8898,1.7239,0.9578,0.902,-7819,-0.4975,1,0,,,
CLM19,2019-05-21,2019-06,0,unavailable,FALSE,,,,,,,,,,,,,,,2019-05-10,2019-05-07,213208,11,1.0005,-0.2507,0.8147,0.3922,5103,0.3458,0,0,,,
CLM20,2020-05-19,2020-06,0,unavailable,FALSE,,,,,,,,,,,,,,,2020-05-08,2020-05-05,202011,11,0.8439,-1.3201,0.7725,0.098,-69011,-4.4912,0,0,392191,63590,6.1675
CLM21,2021-05-20,2021-06,26,CL_data_TWAP,FALSE,-0.0084,0.0122,0.005,-0.0031,-0.0154,-0.0204,-4.0728,0.0351,0.2181,0.283,0.2479,7.0596,-0.0069,0.2984,2021-05-07,2021-05-04,144697,13,0.0425,-1.9259,0.5376,0.0196,-77,0.0077,0,0,,,
CLM22,2022-05-20,2022-06,26,CL_data_TWAP,FALSE,1.6699,0.31,2.1392,2.2962,2.1903,0.0511,0.0239,2.4878,4.2486,2.7593,0.2714,0.1091,0.5203,0.569,2022-05-13,2022-05-10,88702,7,-0.7404,-1.6205,0.3119,0,-8473,-0.5402,0,0,262116,40015,6.5504
CLM23,2023-05-22,2023-06,26,CL_data_TWAP,FALSE,0.0098,0.003,-0.0251,-0.0494,0.0123,0.0374,1.4913,-0.1691,0.0836,-0.095,0.0741,0.4381,0.0025,-0.1073,2023-05-12,2023-05-09,69372,10,-1.0107,-0.5865,0.1835,0.3137,-13642,-0.8776,0,0,209337,62081,3.372
CLM24,2024-05-21,2024-06,26,regime_labels_daily,FALSE,0.4417,0.0559,0.4863,0.4295,0.4786,-0.0077,-0.0159,0.5297,0.4085,0.3729,-0.1568,-0.2961,0.0368,-0.1057,2024-05-10,2024-05-07,110925,11,-0.4297,1.4048,0.4257,0.9216,4169,0.2849,0,0,207621,103102,2.0137
CLM25,2025-05-20,2025-06,26,regime_labels_daily,FALSE,0.4401,0.03,0.4658,0.4,0.569,0.1032,0.2215,0.5223,0.5426,0.6206,0.0983,0.1882,0.1289,0.0516,2025-05-09,2025-05-06,46853,11,-1.3256,-0.5841,0.0532,0.2941,9675,0.6442,0,1,208513,79938,2.6084
CLM26,2026-05-19,2026-06,19,regime_labels_daily,FALSE,3.7046,0.2788,4.287,4.2273,4.2517,-0.0353,-0.0082,4.279,4.2025,,,,0.5471,,2026-05-01,2026-04-28,111580,18,-0.4205,1.3488,0.4275,0.902,19165,1.2636,0,0,193329,112998,1.7109
CLN16,2016-06-21,2016-07,0,unavailable,FALSE,,,,,,,,,,,,,,,2016-06-10,2016-06-07,132591,11,-0.1267,,0.4899,,-3765,-0.2329,0,0,,,
CLN17,2017-06-20,2017-07,0,unavailable,FALSE,,,,,,,,,,,,,,,2017-06-09,2017-06-06,180879,11,0.5485,0.9491,0.7046,0.8039,-7680,-0.4885,0,0,,,
CLN18,2018-06-20,2018-07,0,unavailable,FALSE,,,,,,,,,,,,,,,2018-06-08,2018-06-05,297400,12,2.1777,2.0075,0.989,0.9804,-9441,-0.6034,1,0,,,
CLN19,2019-06-20,2019-07,0,unavailable,FALSE,,,,,,,,,,,,,,,2019-06-07,2019-06-04,229792,13,1.2324,0.4205,0.8716,0.6863,-7839,-0.4988,0,0,,,
CLN20,2020-06-22,2020-07,0,unavailable,FALSE,,,,,,,,,,,,,,,2020-06-12,2020-06-09,170360,10,0.4014,-1.7969,0.6422,0.0196,-3839,-0.2378,0,0,444681,47132,9.4348
CLN21,2021-06-22,2021-07,26,CL_data_TWAP,FALSE,0.3139,0.0664,0.2084,0.4544,0.3745,0.1661,0.7971,0.4831,0.8139,0.6667,0.1836,0.38,0.0606,0.2922,2021-06-11,2021-06-08,139090,11,-0.0359,-2.0679,0.5138,0.0196,-6161,-0.3893,0,0,,,
CLN22,2022-06-21,2022-07,26,CL_data_TWAP,FALSE,2.751,0.1476,1.9594,2.2637,1.5834,-0.376,-0.1919,1.3801,2.0307,3.035,1.6549,1.199,-1.1676,1.4516,2022-06-10,2022-06-07,64775,11,-1.075,-2.0891,0.1468,0.0196,-2494,-0.15,0,0,290174,26693,10.8708
CLN23,2023-06-20,2023-07,26,CL_data_TWAP,FALSE,-0.1711,0.0098,-0.1834,-0.3463,-0.2243,-0.0409,-0.2232,-0.2313,0.0191,-0.158,0.0733,0.3167,-0.0533,0.0663,2023-06-09,2023-06-06,91088,11,-0.707,0.922,0.3303,0.8824,6937,0.4655,0,0,196737,115383,1.7051
CLN24,2024-06-20,2024-07,26,regime_labels_daily,FALSE,0.3541,0.0484,0.4044,0.7148,1.296,0.8916,2.2048,0.9823,0.7373,0.7346,-0.2477,-0.2522,0.9419,-0.5615,2024-06-07,2024-06-04,65393,13,-1.0663,-0.5919,0.1505,0.3137,17652,1.1648,0,0,209744,64432,3.2553
CLN25,2025-06-20,2025-07,26,regime_labels_daily,FALSE,1.3138,0.2669,1.761,1.7883,2.39,0.629,0.3572,1.4233,1.2312,1.4256,0.0023,0.0016,1.0762,-0.9644,2025-06-06,2025-06-03,23326,14,-1.6545,-1.6881,0.0092,0.0588,-38421,-2.4947,0,1,207243,62612,3.31
CLN26,2026-06-22,2026-07,0,unavailable,FALSE,,,,,,,,,,,,,,,2026-06-12,2026-06-09,35576,10,-1.4832,-1.4123,0.0202,0.0784,-29533,-1.9147,0,1,213483,118758,1.7976
CLQ16,2016-07-20,2016-08,0,unavailable,FALSE,,,,,,,,,,,,,,,2016-07-08,2016-07-05,154307,12,0.1769,,0.5853,,2679,0.1876,0,0,,,
CLQ17,2017-07-20,2017-08,0,unavailable,FALSE,,,,,,,,,,,,,,,2017-07-07,2017-07-03,213079,13,0.9987,1.8401,0.811,0.9412,-8126,-0.5176,0,0,,,
CLQ18,2018-07-20,2018-08,0,unavailable,FALSE,,,,,,,,,,,,,,,2018-07-13,2018-07-10,224749,7,1.1619,-0.3561,0.8514,0.4118,-1143,-0.0618,0,0,,,
