product,regime,tier,spread_target,n_events,r2_insample,r2_cv,rmse_bbl,hit_rate,hit_sig,n_sig,alpha_used,coef_intercept,coef_surprise_z,coef_cushing_stocks_chg_z,coef_refinery_util_dev,coef_crude_prod_chg_z,coef_crude_net_exports_z,coef_sx_cushing,coef_sx_util,coef_td3c_z52,coef_td3c_wow_ws_z,coef_sx_td3c,coef_gasoline_stocks_chg_z,coef_distillate_stocks_chg_z,coef_rig_chg_wow_z,coef_td3c_storage_cost_z,coef_bdi_z52,coef_hdd_dev_5yr_z,coef_cdd_us_ne,coef_cftc_mm_net_chg_z,coef_driving_season,coef_heating_season,coef_turnaround_season,coef_sin_ann,coef_cos_ann,coef_sx_cftc,coef_sx_5yr_dev
CL,Easing-Backwardation,tier3_full,fly136,64,0,-0.071,0.7836,0.5469,0.5435,46,1,-0.0931951196199182,0,0,0,0,7.13269052683632e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Backwardation-Deficit,tier2_physical,m1m2,16,5e-04,-0.2325,0.1588,0.625,0.5455,11,0,0.0702593184008813,-0.000232387643162872,0,0,0,5.24443958656229e-05,0,0,,,,,,,,,,,,,,,,,,
CL,Backwardation-Deficit,tier2_physical,m2m3,16,6e-04,-0.08,0.1498,0.625,0.5455,11,0,0.0734863614876719,-0.000219293398774227,0,0,0,4.27743700003954e-05,0,0,,,,,,,,,,,,,,,,,,
CL,Backwardation-Deficit,tier2_physical,m1m6,16,0.0012,-0.14,0.6155,0.5625,0.4545,11,0,0.275514561264763,-0.00172429986338564,0,0,0,0.000236437601150109,0,0,,,,,,,,,,,,,,,,,,
CL,Backwardation-Deficit,tier2_physical,fly123,16,2e-04,-0.1321,0.0727,0.5,0.3636,11,0,-0.00326140651603783,0.000105662098738729,0,0,0,-4.78293569532958e-06,0,0,,,,,,,,,,,,,,,,,,
CL,Backwardation-Deficit,tier2_physical,fly136,16,3e-04,-0.2839,0.1833,0.5,0.5455,11,0,0.0121137976223368,0.000267079725819861,0,0,0,7.23212269423214e-05,0,0,,,,,,,,,,,,,,,,,,
CL,Backwardation-Deficit,tier2_freight,m1m2,16,7e-04,-0.1065,0.1588,0.625,0.5455,11,0,0.070266807621244,-0.000232391464968011,0,0,,5.24454013579874e-05,0,,-5.02074699779405e-05,4.85351465728385e-05,1.56749923760626e-05,,,,,,,,,,,,,,,
CL,Backwardation-Deficit,tier2_freight,m2m3,16,8e-04,-0.207,0.1498,0.625,0.5455,11,0,0.0734851272147417,-0.000219319204759123,0,0,,4.27503229109213e-05,0,,-1.09356966853982e-06,8.36184671923683e-05,3.88222753307278e-05,,,,,,,,,,,,,,,
CL,Backwardation-Deficit,tier2_freight,m1m6,16,9e-04,-0.3358,0.6156,0.5625,0.4545,11,0,0.275275953737617,-0.00090153438770664,0,0,,0.000121990756809034,0,,2.91865791009792e-06,0.000445993102398852,0.00019615251259433,,,,,,,,,,,,,,,
CL,Backwardation-Deficit,tier2_freight,fly123,16,9e-04,-0.1325,0.0726,0.5,0.3636,11,0,-0.00323165936202574,3.54610233868886e-05,0,0,,-1.44522223368188e-06,0,,-3.79351180197001e-05,-4.47304438493604e-05,-2.60917603422065e-05,,,,,,,,,,,,,,,
