product,tier,spread_target,regime,n_events,r2_cv,r2_insample,rmse_bbl,hit_rate,hit_sig,n_sig,oos_hit_rate,oos_n,oos_rmse
HO,tier2_freight,m1m2,Easing-Backwardation,47,-0.0733,0,0.6348,0.4894,0.5,28,0.5,2,1.7191
HO,tier2_freight,m1m2,Stable-Elevated,94,-0.0637,0.0931,0.6532,0.5638,0.5429,70,,,
HO,tier2_freight,m1m2,Warm-Up,68,-0.0322,0,1.0776,0.4853,0.5208,48,,,
HO,tier2_physical,m1m2,ALL_REGIMES,269,-0.0088,0.0186,2.3139,0.5353,0.5185,189,0.6364,11,3.9833
HO,tier2_physical,m1m2,Deep-Backwardation,18,-0.1765,0,7.1726,0.5556,0.5333,15,0.6667,9,4.3285
HO,tier2_physical,m1m2,Deep-Contango,19,-0.0346,4e-04,0.1205,0.6316,0.6923,13,,,
HO,tier2_physical,m1m2,Easing-Backwardation,47,-0.0641,0,0.6348,0.4894,0.5,28,0.5,2,1.7191
HO,tier2_physical,m1m2,Stable-Elevated,94,0.0206,0.0951,0.6525,0.6064,0.6,70,,,
HO,tier2_physical,m1m2,Warm-Up,68,-0.0197,0,1.0776,0.4853,0.5208,48,,,
HO,tier3_full,m1m2,ALL_REGIMES,269,-0.0177,0,2.3357,0.5056,0.4762,189,0.6364,11,3.9737
HO,tier3_full,m1m2,Deep-Backwardation,18,-0.1628,0.0028,7.1627,0.5556,0.5333,15,0.6667,9,4.3177
HO,tier3_full,m1m2,Deep-Contango,19,-0.109,0.0722,0.1161,0.6316,0.6923,13,,,
HO,tier3_full,m1m2,Easing-Backwardation,47,-0.0756,0,0.6348,0.4894,0.5,28,0.5,2,1.7191
HO,tier3_full,m1m2,Stable-Elevated,94,-0.036,0,0.6859,0.4574,0.4143,70,,,
HO,tier3_full,m1m2,Warm-Up,68,-0.015,0,1.0776,0.4853,0.5208,48,,,
HO,tier2_freight,m1m6,ALL_REGIMES,269,0.0052,0.0254,3.1479,0.5539,0.5397,189,0.6364,11,7.9255
HO,tier2_freight,m1m6,Deep-Backwardation,18,-0.1263,4e-04,8.4961,0.6667,0.6667,15,0.5556,9,8.6829
HO,tier2_freight,m1m6,Deep-Contango,19,-0.2078,0.0024,0.4339,0.6316,0.6154,13,,,
HO,tier2_freight,m1m6,Easing-Backwardation,47,-0.083,0,1.6166,0.4894,0.3929,28,1,2,2.4927
HO,tier2_freight,m1m6,Stable-Elevated,94,-0.0464,0,1.5067,0.4681,0.4429,70,,,
HO,tier2_freight,m1m6,Warm-Up,68,-0.0199,0,2.7264,0.6324,0.5625,48,,,
HO,tier2_physical,m1m6,ALL_REGIMES,269,0.0058,0.0199,3.1568,0.5725,0.5608,189,0.6364,11,7.9096
HO,tier2_physical,m1m6,Deep-Backwardation,18,-0.1288,1e-04,8.4972,0.6667,0.6667,15,0.5556,9,8.6651
HO,tier2_physical,m1m6,Deep-Contango,19,-0.0456,5e-04,0.4343,0.6316,0.6154,13,,,
HO,tier2_physical,m1m6,Easing-Backwardation,47,-0.0366,0,1.6166,0.4894,0.3929,28,1,2,2.4927
HO,tier2_physical,m1m6,Stable-Elevated,94,-0.0151,0.0649,1.4569,0.5426,0.5286,70,,,
HO,tier2_physical,m1m6,Warm-Up,68,-0.0196,0,2.7264,0.6324,0.5625,48,,,
HO,tier3_full,m1m6,ALL_REGIMES,269,-0.0114,0,3.1886,0.5428,0.5079,189,0.6364,11,7.8966
HO,tier3_full,m1m6,Deep-Backwardation,18,-0.1818,0.0026,8.4868,0.6667,0.6667,15,0.5556,9,8.6505
HO,tier3_full,m1m6,Deep-Contango,19,-0.0656,0.0045,0.4335,0.6316,0.6154,13,,,
HO,tier3_full,m1m6,Easing-Backwardation,47,-0.0446,0,1.6166,0.4894,0.3929,28,1,2,2.4927
HO,tier3_full,m1m6,Stable-Elevated,94,-0.0482,0,1.5067,0.4681,0.4429,70,,,
HO,tier3_full,m1m6,Warm-Up,68,-0.0858,0,2.7264,0.6324,0.5625,48,,,
HO,tier2_freight,m2m3,ALL_REGIMES,269,-0.0134,0,0.7706,0.5651,0.5238,189,0.7273,11,2.2318
HO,tier2_freight,m2m3,Deep-Backwardation,18,-0.1795,0.0191,1.6065,0.6667,0.6667,15,0.6667,9,2.415
HO,tier2_freight,m2m3,Deep-Contango,19,-0.0083,0.0514,0.14,0.7368,0.7692,13,,,
HO,tier2_freight,m2m3,Easing-Backwardation,47,-0.0844,0,0.5246,0.5532,0.4643,28,1,2,1.0723
HO,tier2_freight,m2m3,Stable-Elevated,94,0.002,0.0288,0.3656,0.5638,0.5286,70,,,
HO,tier2_freight,m2m3,Warm-Up,68,-0.0597,0,1.0232,0.5882,0.5208,48,,,
HO,tier2_physical,m2m3,ALL_REGIMES,269,-0.0082,0,0.7706,0.5651,0.5238,189,0.6364,11,2.0973
HO,tier2_physical,m2m3,Deep-Backwardation,18,-0.1443,6e-04,1.6215,0.6667,0.6667,15,0.5556,9,2.2629
HO,tier2_physical,m2m3,Deep-Contango,19,-0.077,3e-04,0.1437,0.6842,0.6923,13,,,
HO,tier2_physical,m2m3,Easing-Backwardation,47,-0.1028,0,0.5246,0.5532,0.4643,28,1,2,1.0723
HO,tier2_physical,m2m3,Stable-Elevated,94,-0.0159,0.0063,0.3698,0.5638,0.5286,70,,,
HO,tier2_physical,m2m3,Warm-Up,68,-0.0172,0,1.0232,0.5882,0.5208,48,,,
HO,tier3_full,m2m3,ALL_REGIMES,269,-0.0254,0.0119,0.766,0.5651,0.5238,189,0.6364,11,2.0723
HO,tier3_full,m2m3,Deep-Backwardation,18,-0.1195,0.0031,1.6195,0.6667,0.6667,15,0.5556,9,2.2633
HO,tier3_full,m2m3,Deep-Contango,19,-0.1852,0.0038,0.1435,0.7368,0.7692,13,,,
HO,tier3_full,m2m3,Easing-Backwardation,47,0.0178,0.2363,0.4584,0.6383,0.5,28,1,2,0.7535
HO,tier3_full,m2m3,Stable-Elevated,94,-0.029,0.0834,0.3551,0.5106,0.5,70,,,
HO,tier3_full,m2m3,Warm-Up,68,-0.0597,0,1.0232,0.5882,0.5208,48,,,
LCO,tier2_freight,fly123,ALL_REGIMES,269,-0.0013,0.0247,0.2766,0.5539,0.582,189,0.6667,12,0.3063
LCO,tier2_freight,fly123,Backwardation-Deficit,16,-0.5117,0.0039,0.1868,0.75,0.7273,11,,,
LCO,tier2_freight,fly123,Deep-Backwardation,70,-0.0209,0,0.2873,0.5286,0.5962,52,0.6364,11,0.3154
LCO,tier2_freight,fly123,Easing-Backwardation,64,-0.0766,0,0.3049,0.5156,0.5435,46,1,1,0.1769
LCO,tier2_freight,fly123,Stable-Elevated,49,0.1019,0.1648,0.2902,0.5306,0.5517,29,,,
LCO,tier2_freight,fly123,Warm-Up,33,-0.0771,4e-04,0.1773,0.5152,0.5,28,,,
LCO,tier2_physical,fly123,ALL_REGIMES,269,-0.0058,0.0265,0.2764,0.5502,0.5767,189,0.6667,12,0.3063
LCO,tier2_physical,fly123,Backwardation-Deficit,16,-0.2045,4e-04,0.1871,0.75,0.7273,11,,,
LCO,tier2_physical,fly123,Deep-Backwardation,70,-0.077,0,0.2873,0.5286,0.5962,52,0.6364,11,0.3154
LCO,tier2_physical,fly123,Easing-Backwardation,64,-0.0994,0,0.3049,0.5156,0.5435,46,1,1,0.1769
LCO,tier2_physical,fly123,Stable-Elevated,49,-0.0328,0,0.3175,0.551,0.5862,29,,,
LCO,tier2_physical,fly123,Warm-Up,33,-0.0594,0.0303,0.1746,0.5758,0.5357,28,,,
LCO,tier3_full,fly123,ALL_REGIMES,269,-0.0046,0.041,0.2743,0.5279,0.5397,189,0.6667,12,0.3065
LCO,tier3_full,fly123,Backwardation-Deficit,16,-0.0575,0.2786,0.159,0.75,0.6364,11,,,
LCO,tier3_full,fly123,Deep-Backwardation,70,-0.0416,0,0.2873,0.5286,0.5962,52,0.6364,11,0.3154
LCO,tier3_full,fly123,Easing-Backwardation,64,0.0049,0.1139,0.287,0.4844,0.4783,46,1,1,0.1816
LCO,tier3_full,fly123,Stable-Elevated,49,-0.119,0,0.3175,0.551,0.5862,29,,,
LCO,tier3_full,fly123,Warm-Up,33,-0.0348,0.1104,0.1673,0.5455,0.5714,28,,,
LCO,tier2_freight,fly136,ALL_REGIMES,269,0.0132,0.0351,0.3304,0.539,0.5608,189,0.5833,12,1.0023
LCO,tier2_freight,fly136,Backwardation-Deficit,16,-0.2432,0.0174,0.2524,0.5625,0.5455,11,,,
LCO,tier2_freight,fly136,Deep-Backwardation,70,-0.0413,0,0.3666,0.5571,0.5769,52,0.6364,11,1.0281
LCO,tier2_freight,fly136,Easing-Backwardation,64,-0.0403,0,0.3479,0.5625,0.6304,46,0,1,0.6547
LCO,tier2_freight,fly136,Stable-Elevated,49,0.0964,0.1581,0.3508,0.5102,0.4483,29,,,
LCO,tier2_freight,fly136,Warm-Up,33,0.0442,0.1257,0.1586,0.697,0.7143,28,,,
LCO,tier2_physical,fly136,ALL_REGIMES,269,0.0158,0.0345,0.3305,0.539,0.5608,189,0.5833,12,1.0023
LCO,tier2_physical,fly136,Backwardation-Deficit,16,-0.184,4e-04,0.2545,0.5625,0.5455,11,,,
LCO,tier2_physical,fly136,Deep-Backwardation,70,-0.0474,0,0.3666,0.5571,0.5769,52,0.6364,11,1.0281
LCO,tier2_physical,fly136,Easing-Backwardation,64,-0.0232,0,0.3479,0.5625,0.6304,46,0,1,0.6547
LCO,tier2_physical,fly136,Stable-Elevated,49,0.054,0.1533,0.3518,0.551,0.5172,29,,,
LCO,tier2_physical,fly136,Warm-Up,33,-0.0336,0.1275,0.1584,0.697,0.7143,28,,,
LCO,tier3_full,fly136,ALL_REGIMES,269,0.0249,0.0778,0.323,0.5874,0.5926,189,0.5833,12,1.0363
LCO,tier3_full,fly136,Backwardation-Deficit,16,-0.3066,0.0088,0.2535,0.5625,0.5455,11,,,
LCO,tier3_full,fly136,Deep-Backwardation,70,0.0025,0.0224,0.3625,0.5571,0.5769,52,0.6364,11,1.0337
LCO,tier3_full,fly136,Easing-Backwardation,64,0.0453,0.2848,0.2942,0.625,0.6304,46,0,1,1.065
LCO,tier3_full,fly136,Stable-Elevated,49,-0.0394,0.1441,0.3536,0.5714,0.5517,29,,,
LCO,tier3_full,fly136,Warm-Up,33,0.0824,0.2873,0.1432,0.7576,0.75,28,,,
LCO,tier2_freight,m1m2,ALL_REGIMES,269,0.0207,0.0381,0.3193,0.6022,0.5979,189,0.75,12,1.581
LCO,tier2_freight,m1m2,Backwardation-Deficit,16,-0.1247,0.0014,0.2797,0.6875,0.6364,11,,,
LCO,tier2_freight,m1m2,Deep-Backwardation,70,-0.031,0,0.3274,0.6286,0.6346,52,0.8182,11,1.6432
LCO,tier2_freight,m1m2,Easing-Backwardation,64,-0.035,0,0.3829,0.5625,0.5435,46,0,1,0.5433
LCO,tier2_freight,m1m2,Stable-Elevated,49,0.0555,0.2246,0.2712,0.6939,0.7241,29,,,
LCO,tier2_freight,m1m2,Warm-Up,33,-0.0728,0.0276,0.1894,0.5152,0.4643,28,,,
LCO,tier2_physical,m1m2,ALL_REGIMES,269,0.0257,0.0388,0.3192,0.5948,0.5873,189,0.75,12,1.6171
LCO,tier2_physical,m1m2,Backwardation-Deficit,16,-0.0205,0.0138,0.278,0.6875,0.6364,11,,,
LCO,tier2_physical,m1m2,Deep-Backwardation,70,-0.0464,0.0184,0.3244,0.6286,0.6346,52,0.8182,11,1.681
LCO,tier2_physical,m1m2,Easing-Backwardation,64,-0.0126,0,0.3829,0.5625,0.5435,46,0,1,0.5433
LCO,tier2_physical,m1m2,Stable-Elevated,49,0.0917,0.2325,0.2698,0.6327,0.5862,29,,,
LCO,tier2_physical,m1m2,Warm-Up,33,-0.031,0.0122,0.1908,0.5152,0.4643,28,,,
LCO,tier3_full,m1m2,ALL_REGIMES,269,0.0242,0.065,0.3148,0.5762,0.5608,189,0.75,12,1.5857
LCO,tier3_full,m1m2,Backwardation-Deficit,16,-0.1916,0.087,0.2675,0.6875,0.6364,11,,,
LCO,tier3_full,m1m2,Deep-Backwardation,70,-0.0527,0,0.3274,0.6286,0.6346,52,0.8182,11,1.6432
LCO,tier3_full,m1m2,Easing-Backwardation,64,-0.0211,0.2808,0.3247,0.6406,0.6087,46,0,1,0.6889
LCO,tier3_full,m1m2,Stable-Elevated,49,0.1078,0.2237,0.2714,0.6939,0.7241,29,,,
LCO,tier3_full,m1m2,Warm-Up,33,-0.0926,0.0033,0.1917,0.5152,0.4643,28,,,
