date,M1M2,bp_regime,kf_z,kf_regime,ms_state,ms_regime,ms_prob_back,arima_z,arima_regime,n_models_back,consensus_regime
2023-09-06,0.778857142857135,flat,0.0756148105872842,flat,1,flat,8.03999217318139e-05,,,0,contango_flat
2023-09-07,0.778259259259258,flat,0.068609461544758,flat,1,flat,8.00451992763502e-05,,,0,contango_flat
2023-09-08,0.695763888888905,flat,-0.0507509987470118,flat,1,flat,6.68733511444313e-05,0.840919637341391,flat,0,contango_flat
2023-09-09,0.694999999999993,flat,-0.0570120354236829,flat,1,flat,6.51997798256476e-05,0.79838493120105,flat,0,contango_flat
2023-09-11,0.63384615384615,flat,-0.153193520123326,flat,1,flat,6.09866426788899e-05,0.399129189583093,flat,0,contango_flat
2023-09-12,0.684711538461542,flat,-0.100767599779484,flat,1,flat,6.37012179920669e-05,0.673418021527941,flat,0,contango_flat
2023-09-13,0.627540106951869,flat,-0.209784613235572,flat,1,flat,6.11571490744804e-05,0.294468605429974,flat,0,contango_flat
2023-09-14,0.573389355742293,flat,-0.330912551537548,flat,1,flat,7.00073753117965e-05,-0.0681401450446044,flat,0,contango_flat
2023-09-15,0.784909090909096,flat,-0.101173494446895,flat,1,flat,0.000185177384667137,1.21076016967613,flat,0,contango_flat
2023-09-16,0.823958333333323,flat,-0.126592406536372,flat,1,flat,0.00102808877960005,1.38314768391761,flat,0,contango_flat
2023-09-18,1.14133333333332,flat,0.232152607334862,flat,1,flat,0.00750939438485126,2.92420305763258,backwardation,1,transitional
2023-09-19,0.810000000000002,flat,-0.311948816790645,flat,1,flat,0.0146459271934189,1.02803267372115,flat,0,contango_flat
2023-09-20,0.667636363636362,flat,-0.615955255773841,flat,1,flat,0.0766750190343592,0.213748577671334,flat,0,contango_flat
2023-09-21,1.28925438596491,flat,0.109110275139259,flat,2,backwardation,0.773715842558509,3.17612763270976,backwardation,2,transitional
2023-09-22,1.72118881118881,flat,0.573492034049238,flat,2,backwardation,0.9997706604165,4.04973619079852,backwardation,2,transitional
2023-09-23,1.72166666666665,flat,0.461913413959149,flat,2,backwardation,0.999999179279282,3.36590259925839,backwardation,2,transitional
2023-09-25,1.58880952380952,flat,0.18581505093302,flat,2,backwardation,0.999995370771457,2.60668146972975,backwardation,2,transitional
2023-09-26,1.64433333333334,flat,0.187162774404609,flat,2,backwardation,0.999997978542295,2.49884487383778,backwardation,2,transitional
2023-09-27,2.37418181818182,flat,1.15737934584301,flat,2,backwardation,0.999999999999443,3.65401666301934,backwardation,2,transitional
2023-09-28,2.0358152173913,flat,0.644321726923473,flat,2,backwardation,0.999999998403138,2.56490134785931,backwardation,2,transitional
2023-09-29,1.99321428571429,flat,0.571462333932655,flat,2,backwardation,0.999999996132578,2.25845125047943,backwardation,2,transitional
2023-09-30,1.97500000000001,flat,0.548537277881116,flat,2,backwardation,0.999999994386718,2.05122354054388,backwardation,2,transitional
2023-10-02,1.66706349206349,flat,0.126425522304347,flat,2,backwardation,0.999998591299518,1.39141156635448,flat,1,transitional
2023-10-03,1.85211129296236,flat,0.409649052369139,flat,2,backwardation,0.999999939847186,1.63259311046608,backwardation,2,transitional
2023-10-04,1.76031372549022,flat,0.307835529526909,flat,2,backwardation,0.999999682203288,1.39151319498607,flat,1,transitional
2023-10-05,1.47066666666667,flat,-0.0690916994670614,flat,2,backwardation,0.99997659866509,0.83620209410551,flat,1,transitional
2023-10-06,1.62916666666666,flat,0.190895278674836,flat,2,backwardation,0.999997356488615,1.06823086570797,flat,1,transitional
2023-10-07,1.61499999999998,flat,0.20893822769577,flat,2,backwardation,0.99999685507814,0.996452897624494,flat,1,transitional
2023-10-09,1.77328571428572,flat,0.476974119479111,flat,2,backwardation,0.999999754027924,1.22020648651153,flat,1,transitional
2023-10-10,1.78280112044818,flat,0.542624349654961,flat,2,backwardation,0.999999705325438,1.17849551599752,flat,1,transitional
2023-10-11,1.43480519480519,flat,0.109544211573626,flat,2,backwardation,0.999754892971418,0.555981012456972,flat,1,transitional
2023-10-12,1.22883040935672,flat,-0.119087963115779,flat,2,backwardation,0.996471152578502,0.169121619318152,flat,1,transitional
2023-10-13,1.32048484848485,flat,0.0739365492415151,flat,2,backwardation,0.991737447088268,0.297844841529516,flat,1,transitional
2023-10-14,1.15000000000001,flat,-0.105011839730456,flat,2,backwardation,0.970745581765165,-0.0419247839977623,flat,1,transitional
2023-10-16,1.37200000000001,flat,0.273048583347504,flat,2,backwardation,0.954047315651136,0.332366446142843,flat,1,transitional
2023-10-17,1.30607142857143,flat,0.246453058032574,flat,2,backwardation,0.821745904328306,0.173854532061096,flat,1,transitional
2023-10-18,1.021,flat,-0.0873209737590965,flat,1,flat,0.335832772213935,-0.412199402973879,flat,0,contango_flat
2023-10-19,1.14375000000001,flat,0.158079411637621,flat,1,flat,0.173250270510927,-0.2022165339527,flat,0,contango_flat
2023-10-20,0.917090909090888,flat,-0.0909769331575924,flat,1,flat,0.0405741892984371,-0.682228403577918,flat,0,contango_flat
2023-10-23,1.09512145748988,flat,0.234552640847976,flat,1,flat,0.0158387804957291,-0.330045059632941,flat,0,contango_flat
2023-10-24,0.72126984126983,flat,-0.221131666703541,flat,1,flat,0.00159987818235047,-1.0896073517573,flat,0,contango_flat
2023-10-25,0.728472222222223,flat,-0.138710841570892,flat,1,flat,0.000220489661713491,-1.06563690700575,flat,0,contango_flat
2023-10-26,0.665846153846147,flat,-0.158741601068361,flat,1,flat,8.34718360253506e-05,-1.19083750291176,flat,0,contango_flat
2023-10-27,0.814141414141403,flat,0.118285091908558,flat,1,flat,0.00013076537827727,-0.890941627225918,flat,0,contango_flat
2023-10-28,1.09571428571429,flat,0.587738091223521,flat,1,flat,0.000410665212552779,-0.333193754065177,flat,0,contango_flat
