product,tier,spread_target,regime,estimator,n_events,r2_cv,r2_insample,rmse_bbl,hit_rate,hit_sig,n_sig,oos_hit_rate,oos_n,oos_rmse
CL,tier3_full,m1m6,Backwardation-Deficit,Ridge,16,-0.1889,0.2421,0.5361,0.5625,0.4545,11,,,
CL,tier3_full,m1m6,Deep-Backwardation,Lasso,70,-0.0203,0,1.2235,0.5286,0.5385,52,0.6364,11,5.9648
CL,tier3_full,m1m6,Easing-Backwardation,Lasso,64,-0.0646,0,1.0717,0.5469,0.5435,46,0,1,1.4291
CL,tier3_full,m1m6,Stable-Elevated,Lasso,49,-0.0415,0,0.7951,0.5714,0.6207,29,,,
CL,tier3_full,m1m6,Warm-Up,Ridge,33,-0.1096,0.0023,0.5018,0.6667,0.6429,28,,,
CL,tier2_freight,m2m3,ALL_REGIMES,Lasso,269,-0.0077,0,0.2176,0.5613,0.5503,189,0.25,12,1.9383
CL,tier2_freight,m2m3,Backwardation-Deficit,Ridge,16,-0.1673,8e-04,0.1498,0.625,0.5455,11,,,
CL,tier2_freight,m2m3,Deep-Backwardation,Lasso,70,1e-04,0.0414,0.2835,0.6143,0.5962,52,0.2727,11,2.0207
CL,tier2_freight,m2m3,Easing-Backwardation,Lasso,64,-0.0512,0,0.192,0.5156,0.4783,46,0,1,0.4108
CL,tier2_freight,m2m3,Stable-Elevated,Lasso,49,-0.0626,0,0.2156,0.5918,0.6207,29,,,
CL,tier2_freight,m2m3,Warm-Up,Ridge,33,-0.1034,8e-04,0.0766,0.6667,0.6071,28,,,
CL,tier2_physical,m2m3,ALL_REGIMES,Lasso,269,-0.0034,0,0.2176,0.5613,0.5503,189,0.1667,12,1.7736
CL,tier2_physical,m2m3,Backwardation-Deficit,Ridge,16,-0.1946,0.0105,0.149,0.625,0.5455,11,,,
CL,tier2_physical,m2m3,Deep-Backwardation,Lasso,70,-0.0145,0.023,0.2862,0.5714,0.5577,52,0.1818,11,1.8483
CL,tier2_physical,m2m3,Easing-Backwardation,Lasso,64,-0.0601,0,0.192,0.5156,0.4783,46,0,1,0.4108
CL,tier2_physical,m2m3,Stable-Elevated,Lasso,49,-0.03,0,0.2156,0.5918,0.6207,29,,,
CL,tier2_physical,m2m3,Warm-Up,Ridge,33,-0.038,0.0035,0.0765,0.6667,0.6071,28,,,
CL,tier3_full,m2m3,ALL_REGIMES,Lasso,269,-0.0073,0.0048,0.2171,0.5613,0.5503,189,0.6667,12,1.7361
CL,tier3_full,m2m3,Backwardation-Deficit,Ridge,16,-0.083,0.2433,0.1303,0.625,0.5455,11,,,
CL,tier3_full,m2m3,Deep-Backwardation,Lasso,70,-0.0035,0.0276,0.2855,0.5429,0.5577,52,0.7273,11,1.8091
CL,tier3_full,m2m3,Easing-Backwardation,Lasso,64,-0.0233,0,0.192,0.5156,0.4783,46,0,1,0.4108
CL,tier3_full,m2m3,Stable-Elevated,Lasso,49,-0.1021,0,0.2156,0.5918,0.6207,29,,,
CL,tier3_full,m2m3,Warm-Up,Ridge,33,0.0165,0.3438,0.0621,0.7273,0.7143,28,,,
HO,tier2_freight,fly123,ALL_REGIMES,Lasso,269,0.0013,0.0248,2.2456,0.5353,0.5344,189,0.7273,11,3.1853
HO,tier2_freight,fly123,Deep-Backwardation,Ridge,18,-0.1742,3e-04,6.8008,0.5,0.5333,15,0.6667,9,3.4576
HO,tier2_freight,fly123,Deep-Contango,Ridge,19,-0.0687,0.0011,0.1034,0.7895,0.8462,13,,,
