product,regime,tier,spread_target,estimator,n_events,r2_insample,r2_cv,rmse_bbl,hit_rate,hit_sig,n_sig,coef_intercept,coef_surprise_z,coef_cushing_stocks_chg_z,coef_gasoline_stocks_chg_z,coef_distillate_stocks_chg_z,coef_crude_prod_chg_z,coef_crude_net_exports_z,coef_crude_stocks_5yr_dev_z,coef_cushing_stocks_5yr_dev_z,coef_cftc_net_mm_zscore,coef_cftc_mm_net_chg_z,coef_td3c_z52,coef_td3c_wow_ws_z,coef_bdi_z52,coef_dxy_z,coef_dxy_4wk_chg_z,coef_sofr_z,coef_opec_prod_z,coef_rig_chg_wow_z,coef_refinery_util_dev,coef_hdd_dev_5yr_z,coef_cdd_us_ne,coef_gasoil_crack_dev_z,coef_sin_ann,coef_cos_ann,coef_driving_season,coef_heating_season,coef_turnaround_season,coef_sx_cushing,coef_sx_td3c,coef_sx_cftc,coef_sx_5yr_dev,coef_sx_util
CL,Stable-Elevated,sfm_t4_combined,m2m3,Ridge,35,0.0046,-0.067,0.2431,0.6571,0.6207,29,0.0184578382698409,8.98936938051976e-05,0,0,0,0,0.000203756802495361,4.27694707743275e-05,3.83971074345616e-05,0.000135398774926591,0,8.96124236718132e-05,7.11489782306082e-05,0,-0.00048249260198156,-0.000111295065858689,0.000647457066097537,-4.24471518617854e-05,0,0,9.55063454234907e-05,-8.93328571175502e-05,0.000166405473682114,5.79575111211153e-05,0.000207088428070009,-0.000163332480159548,0.000150989883613286,-0.000176182224067084,0,0.000109227553939476,-3.57059156618917e-05,9.61418730363371e-05,0
CL,Stable-Elevated,sfm_t4_combined,m1m6,Ridge,35,0.045,-0.0195,0.8627,0.6571,0.6207,29,0.126335032545082,0.00180307214476251,0,0,0,0,0.00652635473007968,-0.000439834481633933,0.000197934816073638,0.00549129807543901,0,0.00312275135009528,0.00209266221780596,0,-0.019683408163877,-0.00372107365984152,0.0244104123059643,-0.0039020118966385,0,0,0.00319172603118006,-0.00297963735456424,0.00699912058827527,0.00176437873513866,0.00523894979856696,-0.00236673337532734,0.00199795728346202,-0.0109445057245567,0,0.00385102432489128,-0.000923779310030976,0.00504968944262305,0
CL,Stable-Elevated,sfm_t4_combined,fly123,Ridge,35,0.0032,-0.0359,0.1147,0.4857,0.4828,29,-0.00318630141628141,5.17021213353783e-05,0,0,0,0,0.000159768548938053,-5.6693705719476e-05,-7.368211517389e-05,4.02550384784528e-05,0,9.88912077469178e-07,-4.4651679267932e-05,0,-0.000103772620691206,-4.26355884248567e-05,0.000163382069282887,-6.56929953833374e-05,0,0,6.73443384303833e-06,-8.64904387799886e-06,-3.27011547397303e-05,6.76511286366074e-06,7.40664228424209e-05,-9.08499676878305e-05,8.77440716675219e-05,-4.51353333137846e-05,0,-1.0528217663209e-05,-6.76018023841913e-05,-9.09186312565202e-05,0
CL,Stable-Elevated,sfm_t4_combined,fly136,Ridge,35,0.2313,-0.0552,0.1731,0.6571,0.6552,29,-0.0660808458624077,0.00374567060992888,0,0,0,0,0.0174804732230288,-0.00649873621047905,-0.010872140166254,0.00366896264464072,0,0.000759331577647817,-0.00594386860403703,0,-0.00404204090451322,-0.000528243519962935,0.0194846202131543,-0.00103753088751334,0,0,0.00722954813545391,-0.00350834503933146,0.00287007591889025,-0.00929360222545062,0.0103228629872161,-0.00657585208194214,0.00587230440795795,0.0155927245140394,0,-0.000893984711615181,-0.00875638067131308,-0.00296140098362335,0
CL,ALL_REGIMES,sfm_t1_eia_only,m1m2,OLS,206,3e-04,-0.0046,0.2502,0.5,0.4921,189,0.00352191159468185,-0.00400672517293972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,ALL_REGIMES,sfm_t1_eia_only,m2m3,OLS,206,0.0019,-0.003,0.2189,0.5534,0.5344,189,0.0190602575956905,-0.00834957346869221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,ALL_REGIMES,sfm_t1_eia_only,m1m6,OLS,206,6e-04,-0.0043,0.9991,0.5728,0.5661,189,0.0948019489990246,-0.0211381551146977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,ALL_REGIMES,sfm_t1_eia_only,fly123,OLS,206,8e-04,-0.0041,0.1702,0.5485,0.5556,189,-0.0155383460010086,0.00434284829575249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,ALL_REGIMES,sfm_t1_eia_only,fly136,OLS,206,1e-04,-0.0048,0.5244,0.5777,0.582,189,-0.0496376106182801,-0.00357444216856616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,ALL_REGIMES,sfm_t2_eia_full,m1m2,OLS,206,,,,,,189,0.00396601345291859,-0.0123268445170919,,,,,0.0203475273106511,,,,,,,,,,,,,,,,,,,,,,,,,,
