date,M1M2,regime_label,level_z_126,signal,fwd10,fwd21
2025-05-01,0.0143899999999997,Stable-Elevated,0.406049029083377,FLAT,0.0272433333333337,0.0433100000000004
2025-05-02,0.014737142857143,Stable-Elevated,0.419016819303962,FLAT,0.0254961904761906,0.0292578571428572
2025-05-03,0.0287321428571428,Stable-Elevated,0.903508632925762,FLAT,0.0180678571428569,0.0189428571428571
2025-05-05,0.0148166666666671,Stable-Elevated,0.416875341057533,FLAT,0.0315766666666664,0.0278833333333329
2025-05-06,0.0145227272727271,Stable-Elevated,0.401573799430074,FLAT,0.0306439393939401,0.0258344155844152
2025-05-07,0.0158785714285714,Stable-Elevated,0.443517992116099,FLAT,0.041861428571429,0.0209785714285715
2025-05-08,0.0261949999999995,Stable-Elevated,0.79837714215827,FLAT,0.056590714285715,0.0440550000000009
2025-05-09,0.0304000000000002,Stable-Elevated,0.932528703774833,FLAT,0.0471999999999997,0.0125583333333332
2025-05-10,0.0350000000000001,Stable-Elevated,1.07348127096612,FLAT,0.0154666666666668,0.0048666666666671
2025-05-12,0.0331499999999996,Stable-Elevated,1.00666211980915,FLAT,0.0095666666666671,0.0128000000000008
2025-05-13,0.0427666666666671,Stable-Elevated,1.32051040937536,FLAT,-0.0283766666666674,-0.002133333333334
2025-05-14,0.0530166666666667,Backwardation-Deficit,1.65988871193664,FLAT,-0.0382795238095237,-0.0113833333333333
2025-05-15,0.0578866666666666,Backwardation-Deficit,1.82199831435145,SELL,-0.0291545238095238,-0.017653333333333
2025-05-16,0.0389523809523813,Stable-Elevated,1.18177763168796,FLAT,-0.0241357142857142,0.0078476190476184
2025-05-17,0.0540700000000003,Backwardation-Deficit,1.67622026407705,FLAT,-0.0395472727272732,-0.0076766666666668
2025-05-19,0.0370333333333335,Stable-Elevated,1.10345135161043,FLAT,-0.0211547619047621,0.0081333333333337
2025-05-20,0.03572,Stable-Elevated,1.05988036703903,FLAT,-0.0095250000000005,0.0220200000000004
2025-05-21,0.035075,Stable-Elevated,1.03652824740186,FLAT,-0.0046749999999998,0.0477107142857145
2025-05-22,0.034242857142857,Stable-Elevated,1.0183695722221,FLAT,0.000757142857143102,0.0433571428571429
2025-05-23,0.0274999999999999,Stable-Elevated,0.794387794199783,FLAT,0.0056499999999997,0.022966666666667
2025-05-24,0.0690500000000003,Backwardation-Deficit,2.18367162107323,SELL,-0.0262833333333332,-0.0263333333333336
2025-05-26,0.0301999999999998,Stable-Elevated,0.881287349816508,FLAT,0.0228166666666669,-0.0158100000000001
2025-05-27,0.025666666666667,Stable-Elevated,0.734148427998615,FLAT,0.0322199999999996,-0.010929523809524
2025-05-28,0.0173499999999995,Stable-Elevated,0.462968233071277,FLAT,0.0216023809523818,0.0113821428571433
2025-05-29,0.0139500000000004,Stable-Elevated,0.35086898323942,FLAT,0.0401199999999999,0.0008666666666667
2025-05-30,0.0130833333333329,Stable-Elevated,0.326353082480658,FLAT,0.0239500000000006,0.0014393939393942
2025-06-02,0.00585428571428581,Stable-Elevated,0.0817971172920316,FLAT,0.0298657142857142,0.0100242857142856
2025-06-03,0.0109222222222223,Stable-Elevated,0.25297033906213,FLAT,0.0241527777777777,0.0152727777777772
2025-06-04,0.00689999999999946,Stable-Elevated,0.11618539690963,FLAT,0.0273428571428575,0.0235000000000007
2025-06-05,0.00945714285714327,Stable-Elevated,0.202537880891624,FLAT,0.0180428571428566,0.0255428571428568
2025-06-06,0.0138933333333333,Stable-Elevated,0.350281922747843,FLAT,0.055156666666667,0.0192566666666663
2025-06-07,0.0534583333333338,Backwardation-Deficit,1.69790993932117,FLAT,-0.023258333333334,-0.0106916666666667
2025-06-08,0.0623139534883723,Backwardation-Deficit,2.0056331470534,SELL,-0.0366472868217053,-0.0092972868217056
2025-06-09,0.0184250000000001,Stable-Elevated,0.511088770989353,FLAT,-0.0010750000000006,0.0394616666666665
2025-06-10,0.0147142857142857,Stable-Elevated,0.384243952790173,FLAT,-0.000764285714285301,0.0242380952380956
2025-06-11,0.0105250000000003,Stable-Elevated,0.238824459791385,FLAT,0.0025583333333326,0.043545
2025-06-12,0.00868000000000002,Stable-Elevated,0.175856972702802,FLAT,-0.00282571428571421,0.0283533333333335
