product,regime,tier,spread_target,estimator,n_events,r2_insample,r2_cv,rmse_bbl,hit_rate,hit_sig,n_sig,alpha_used,coef_intercept,coef_surprise_z,coef_cushing_stocks_chg_z,coef_refinery_util_dev,coef_crude_prod_chg_z,coef_crude_net_exports_z,coef_sx_cushing,coef_sx_util,coef_td3c_z52,coef_td3c_wow_ws_z,coef_sx_td3c,coef_gasoline_stocks_chg_z,coef_distillate_stocks_chg_z,coef_rig_chg_wow_z,coef_td3c_storage_cost_z,coef_bdi_z52,coef_hdd_dev_5yr_z,coef_cdd_us_ne,coef_cftc_mm_net_chg_z,coef_driving_season,coef_heating_season,coef_turnaround_season,coef_sin_ann,coef_cos_ann,coef_sx_cftc,coef_sx_5yr_dev
CL,Easing-Backwardation,tier2_freight,m2m3,Lasso,50,0,-0.0416,0.2093,0.5,0.4783,46,1,0.0091095270398408,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_freight,m1m6,Lasso,50,0,-0.0658,1.1826,0.54,0.5435,46,1,0.0158663100197363,0,0,0,,-3.68752962652244e-17,0,,0,0,0,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_freight,fly123,Lasso,50,0.4949,0.1376,0.1697,0.68,0.6739,46,1,-0.0351041102976915,0.00141753239367035,0,0,,0.00819736848583528,0,,0,0.367503245881168,-0.0545899757761425,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_freight,fly136,Lasso,50,0,-0.0746,0.8822,0.54,0.5435,46,1,-0.108532885086973,0,0,0,,5.50159477996505e-17,0,,0,0,0,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier3_full,m1m2,Lasso,50,0.1249,0.0514,0.2398,0.6,0.587,46,1,-0.0498376395836357,0,0,0,0,0,0,0,0,0.145499473422378,0,0,0,0,0,0,-0.0233777035981907,0,0,0,0,0,0.0044823571140477,-0.00609056815919434,0,0
CL,Easing-Backwardation,tier3_full,m2m3,Lasso,50,0,-0.0566,0.2093,0.5,0.4783,46,1,0.0091095270398408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Easing-Backwardation,tier3_full,m1m6,Lasso,50,0,-0.063,1.1826,0.54,0.5435,46,1,0.0158663100197363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Easing-Backwardation,tier3_full,fly123,Lasso,50,0.5143,0.0175,0.1664,0.64,0.6304,46,1,-0.0365462466625538,0,0,0,0,0.00247355593382096,0,0,0,0.351297788777822,-0.00878004313287963,0,0,0,-0.0752460255463743,0,-0.0159178817450543,0,0,-0.0204190480429617,0,0,0,0,0,0
CL,Easing-Backwardation,tier3_full,fly136,Lasso,50,0,-0.0383,0.8822,0.54,0.5435,46,1,-0.108532885086973,0,0,0,0,5.50159477996505e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Stable-Elevated,tier1_baseline,m1m2,OLS,31,0.0193,-0.0145,0.1268,0.6774,0.64,25,,0.0401747346510861,-0.0165594402438651,,,,,,,,,,,,,,,,,,,,,,,,
CL,Stable-Elevated,tier1_baseline,m2m3,OLS,31,0.0184,-0.0154,0.0981,0.6774,0.64,25,,0.0461938864443077,-0.0121346655519491,,,,,,,,,,,,,,,,,,,,,,,,
CL,Stable-Elevated,tier1_baseline,m1m6,OLS,31,0.0122,-0.0219,0.4251,0.6774,0.64,25,,0.212099949737774,-0.0426324864359698,,,,,,,,,,,,,,,,,,,,,,,,
CL,Stable-Elevated,tier1_baseline,fly123,OLS,31,0.011,-0.0231,0.0502,0.6774,0.72,25,,-0.00130327974538939,0.00486687642816778,,,,,,,,,,,,,,,,,,,,,,,,
CL,Stable-Elevated,tier1_baseline,fly136,OLS,31,0.0288,-0.0047,0.112,0.6129,0.6,25,,-0.0415946344110278,0.0182052919888001,,,,,,,,,,,,,,,,,,,,,,,,
CL,Stable-Elevated,tier2_physical,m1m2,Ridge,35,0.0829,-0.0713,0.2237,0.6,0.6207,29,0,-0.0204939146399926,-0.00557503252884709,0,0,0,0.0889792112306401,0,0,,,,,,,,,,,,,,,,,,
CL,Stable-Elevated,tier2_physical,m2m3,Ridge,35,4e-04,-0.0923,0.2436,0.6571,0.6207,29,0,0.0181232682262945,0.000162040224175936,0,0,0,0.000363520750119288,0,0,,,,,,,,,,,,,,,,,,
CL,Stable-Elevated,tier2_physical,m1m6,Ridge,35,4e-04,-0.0734,0.8826,0.6571,0.6207,29,0,0.117180498606855,0.00042558124395211,0,0,0,0.001202855371036,0,0,,,,,,,,,,,,,,,,,,
CL,Stable-Elevated,tier2_physical,fly123,Ridge,35,7e-04,-0.0497,0.1149,0.4857,0.4828,29,0,-0.00323935939491162,5.14924863805785e-05,0,0,0,0.000157317074297927,0,0,,,,,,,,,,,,,,,,,,
CL,Stable-Elevated,tier2_physical,fly136,Ridge,35,0.0014,-0.1137,0.1973,0.6,0.5862,29,0,-0.0510460016096844,0.000163275448137187,0,0,0,0.000325409417823146,0,0,,,,,,,,,,,,,,,,,,
CL,Stable-Elevated,tier2_freight,m1m2,Ridge,35,0.0739,0.027,0.2248,0.6857,0.7241,29,0,-0.00552261919760893,0.00769104348153616,0,0,,0.0368459189913752,0,,0.00635100464030476,-0.0041755209615643,0.00677794775492974,,,,,,,,,,,,,,,
CL,Stable-Elevated,tier2_freight,m2m3,Ridge,35,0.001,-0.0371,0.2435,0.6571,0.6207,29,0,0.018022722504311,0.000136463956162158,0,0,,0.000306411614995721,0,,0.000133207553851271,0.000105598417071691,0.000161969152816403,,,,,,,,,,,,,,,
CL,Stable-Elevated,tier2_freight,m1m6,Ridge,35,0.001,-0.074,0.8824,0.6571,0.6207,29,0,0.116775460474404,0.00038233337865099,0,0,,0.00108248757249184,0,,0.00048862448987816,0.000349826433314256,0.000587751346004636,,,,,,,,,,,,,,,
CL,Stable-Elevated,tier2_freight,fly123,Ridge,35,9e-04,-0.0699,0.1149,0.4857,0.4828,29,0,-0.00323071145458347,5.15300099045973e-05,0,0,,0.000157352688786379,0,,9.49722552813413e-07,-4.36012688286307e-05,-1.0310347887966e-05,,,,,,,,,,,,,,,
CL,Stable-Elevated,tier2_freight,fly136,Ridge,35,0.0015,-0.0345,0.1973,0.6,0.5862,29,0,-0.0510365857319884,0.000163319759927029,0,0,,0.000325449303662915,0,,5.05045058617334e-06,-5.93246858083909e-05,-1.20493085415115e-05,,,,,,,,,,,,,,,
CL,Stable-Elevated,tier3_full,m1m2,Ridge,35,0.0104,-0.0725,0.2324,0.6571,0.6207,29,0,0.0151396017107792,0.000354534847839334,0,0,0,0.000942824074920223,0,0,0.000209576951277337,2.94663120876061e-05,0.000221322519160375,0,0,0,0.000171594788657507,0,0.000240358731391076,-0.000234414696380199,0,-0.000624917304415676,0.000588836783594487,-0.00056430582790756,0.000150083786736699,0.000689712607642247,-0.000281749210288185,-3.38394666203961e-05
CL,Stable-Elevated,tier3_full,m2m3,Ridge,35,0.0016,-0.1374,0.2435,0.6571,0.6207,29,0,0.0182953444267683,5.28639940467749e-05,0,0,0,0.000118852007343053,0,0,5.19323592129623e-05,4.12297164416347e-05,6.31811909203142e-05,0,0,0,6.9215360071743e-05,0,5.48903200014555e-05,-5.14509300423501e-05,0,-9.63145636068623e-05,8.93711352747366e-05,-0.000102229891995809,3.44641152485553e-05,0.000120779337902417,-2.09803255393176e-05,5.39000297375661e-05
CL,Stable-Elevated,tier3_full,m1m6,Ridge,35,0.0016,-0.0518,0.8821,0.6571,0.6207,29,0,0.117793129393513,0.000171154757206056,0,0,0,0.0004856427992635,0,0,0.000220097968266135,0.000157713281075722,0.000264910771477023,0,0,0,0.000270325855718309,0,0.000203087603177905,-0.000186396851079899,0,-0.000277961232012082,0.000264068263972351,-0.000706162055306536,0.000168696356399112,0.000416957678446052,-7.66710233414837e-05,0.000245583805681611
CL,Stable-Elevated,tier3_full,fly123,Ridge,35,0.0022,-0.0412,0.1148,0.4857,0.4828,29,0,-0.00317194570377321,5.19402334246296e-05,0,0,0,0.000160197549546901,0,0,9.60879376572947e-07,-4.46062599607842e-05,-1.05382199305132e-05,0,0,0,-3.52345657071583e-05,0,6.56763019199027e-06,-8.67459707241222e-06,0,-9.11427522481307e-05,8.81072530876172e-05,-4.5764316791984e-05,7.10327518210812e-06,7.42631729885592e-05,-6.77332325726443e-05,-9.12382022479425e-05
