variant,variant_label,product,spread_target,tier,regime,n_events_oos,hit_rate_oos,rmse,mae,n_events_is,r2_insample,r2_cv,rmse_bbl,hit_rate_is,hit_sig,n_sig,alpha_used
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m1m2,tier2_physical,Easing-Backwardation,1,1,0.8004,0.8004,50,0,-0.0227,0.2563,0.64,0.6304,46,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,m1m2,tier3_full,ALL_REGIMES,12,0.6667,2.0656,1.4112,269,0,-0.0064,0.2414,0.4907,0.4921,189,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,m1m2,tier3_full,Deep-Backwardation,11,0.6364,2.1432,1.465,70,0,-0.0738,0.335,0.4857,0.5192,52,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,m1m2,tier3_full,Easing-Backwardation,1,1,0.8197,0.8197,64,0,-0.0712,0.2362,0.6094,0.6304,46,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m1m2,tier3_full,ALL_REGIMES,10,0.7,2.2313,1.571,206,0.0281,0.009,0.2467,0.5825,0.5661,189,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m1m2,tier3_full,Deep-Backwardation,9,0.7778,2.3123,1.6022,56,0,-0.0573,0.329,0.5179,0.5192,52,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m1m2,tier3_full,Easing-Backwardation,1,0,1.2902,1.2902,50,0.0968,-0.0402,0.2436,0.62,0.6087,46,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m1m2,tier3_full,ALL_REGIMES,10,0.7,2.1289,1.5346,206,0,-0.0104,0.2502,0.5,0.4921,189,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m1m2,tier3_full,Deep-Backwardation,9,0.7778,2.1961,1.5512,56,0.0171,-0.0205,0.3262,0.5536,0.5577,52,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m1m2,tier3_full,Easing-Backwardation,1,0,1.3849,1.3849,50,0.114,0.0158,0.2413,0.62,0.6087,46,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m1m2,tier3_full,ALL_REGIMES,10,0.7,2.2405,1.586,206,0,-0.0044,0.2502,0.5,0.4921,189,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m1m2,tier3_full,Deep-Backwardation,9,0.7778,2.3123,1.6022,56,0,-0.0304,0.329,0.5179,0.5192,52,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m1m2,tier3_full,Easing-Backwardation,1,0,1.4407,1.4407,50,0.1249,0.0514,0.2398,0.6,0.587,46,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m1m6,tier1_baseline,ALL_REGIMES,10,0.3,6.1537,4.5302,206,6e-04,-0.0043,0.9991,0.5728,0.5661,189,
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m1m6,tier1_baseline,Deep-Backwardation,9,0.3333,6.4665,4.8634,56,0.0077,-0.0107,1.2415,0.5893,0.5962,52,
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m1m6,tier1_baseline,Easing-Backwardation,1,0,1.5313,1.5313,50,0.0036,-0.0171,1.1805,0.48,0.4565,46,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m1m6,tier1_baseline,ALL_REGIMES,10,0.4,6.12,4.4734,184,0.0182,0.0128,0.4202,0.5761,0.5655,168,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m1m6,tier1_baseline,Deep-Backwardation,9,0.3333,6.4363,4.8252,50,0.0507,0.0309,0.6502,0.5,0.4894,47,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,m1m6,tier1_baseline,Easing-Backwardation,1,1,1.3067,1.3067,44,3e-04,-0.0235,0.3206,0.4545,0.45,40,
v1_ridge_all,Ridge/Lasso — all events (original),CL,m1m6,tier2_freight,ALL_REGIMES,12,0.5833,5.7257,4.3052,269,0.0012,-0.0046,0.9606,0.5613,0.5661,189,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,m1m6,tier2_freight,Deep-Backwardation,11,0.6364,5.9648,4.5667,70,0,-0.0378,1.2235,0.5286,0.5385,52,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,m1m6,tier2_freight,Easing-Backwardation,1,0,1.4291,1.4291,64,0,-0.068,1.0717,0.5469,0.5435,46,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m1m6,tier2_freight,ALL_REGIMES,10,0.8,6.0406,4.4572,206,0,-0.0041,0.9994,0.5728,0.5661,189,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m1m6,tier2_freight,Deep-Backwardation,9,0.7778,6.3516,4.8034,56,0,-0.0428,1.2462,0.5357,0.5385,52,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,m1m6,tier2_freight,Easing-Backwardation,1,1,1.3413,1.3413,50,0.0134,-0.0348,1.1746,0.52,0.5,46,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m1m6,tier2_freight,ALL_REGIMES,10,0.6,6.1044,4.9655,206,,,,,,189,
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m1m6,tier2_freight,Deep-Backwardation,9,0.6667,6.4177,5.362,56,0.0738,-0.0184,1.1994,0.5714,0.5577,52,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,m1m6,tier2_freight,Easing-Backwardation,1,0,1.397,1.397,50,0,-0.0573,1.1826,0.54,0.5435,46,1
