signal,horizon,regime,ic,n_bars,product
rsi,fwd_ret_1,Stable-Elevated,-0.106010120730955,3930,CL
rsi,fwd_ret_1,Backwardation-Deficit,-0.0637256492082893,4430,CL
rsi,fwd_ret_1,Transition-Tightening,-0.100231224667059,1997,CL
rsi,fwd_ret_1,Deep-Backwardation,-0.0479445482951133,8450,CL
rsi,fwd_ret_1,Easing-Backwardation,-0.0750909200095817,11121,CL
rsi,fwd_ret_1,Transition-Loosening,-0.122433874189537,1996,CL
rsi,fwd_ret_1,Deep-Contango,-0.12632844897448,6848,CL
rsi,fwd_ret_1,Contango-Surplus,-0.150905088455783,5362,CL
rsi,fwd_ret_1,Easing-Contango,-0.137039995075248,1373,CL
rsi,fwd_ret_1,Stable-Depressed,-0.177201878984323,808,CL
rsi,fwd_ret_4,ALL,-0.0821791346801553,46315,CL
rsi,fwd_ret_4,Stable-Elevated,-0.0905881307681858,3930,CL
rsi,fwd_ret_4,Backwardation-Deficit,-0.0396395384778704,4430,CL
rsi,fwd_ret_4,Transition-Tightening,-0.0520105152734364,1997,CL
rsi,fwd_ret_4,Deep-Backwardation,-0.0525776855023628,8450,CL
rsi,fwd_ret_4,Easing-Backwardation,-0.0653152377164686,11121,CL
rsi,fwd_ret_4,Transition-Loosening,-0.150737169637826,1996,CL
rsi,fwd_ret_4,Deep-Contango,-0.15002946230585,6848,CL
rsi,fwd_ret_4,Contango-Surplus,-0.158467614046309,5362,CL
rsi,fwd_ret_4,Easing-Contango,-0.102571105727888,1373,CL
rsi,fwd_ret_4,Stable-Depressed,-0.246356198060931,808,CL
rsi,fwd_ret_8,ALL,-0.0703011540189271,46315,CL
rsi,fwd_ret_8,Stable-Elevated,-0.0607745144156541,3930,CL
rsi,fwd_ret_8,Backwardation-Deficit,-0.0214250947457786,4430,CL
rsi,fwd_ret_8,Transition-Tightening,-0.0192154871495938,1997,CL
rsi,fwd_ret_8,Deep-Backwardation,-0.0331663635408877,8450,CL
rsi,fwd_ret_8,Easing-Backwardation,-0.0590182957449705,11121,CL
rsi,fwd_ret_8,Transition-Loosening,-0.156656540082265,1996,CL
rsi,fwd_ret_8,Deep-Contango,-0.159457328324423,6848,CL
rsi,fwd_ret_8,Contango-Surplus,-0.161142971264891,5362,CL
rsi,fwd_ret_8,Easing-Contango,-0.0857032393082626,1373,CL
rsi,fwd_ret_8,Stable-Depressed,-0.228699672757448,808,CL
open_gap,fwd_ret_1,ALL,-0.00184025135377678,46248,CL
open_gap,fwd_ret_1,Stable-Elevated,0.00667479622186925,3863,CL
open_gap,fwd_ret_1,Backwardation-Deficit,0.0136910164207141,4430,CL
open_gap,fwd_ret_1,Transition-Tightening,-0.00662799730472013,1997,CL
open_gap,fwd_ret_1,Deep-Backwardation,-0.0126493487591414,8450,CL
open_gap,fwd_ret_1,Easing-Backwardation,-0.00458036526892918,11121,CL
open_gap,fwd_ret_1,Transition-Loosening,0.00608343740412326,1996,CL
open_gap,fwd_ret_1,Deep-Contango,0.0142984429726356,6848,CL
open_gap,fwd_ret_1,Contango-Surplus,-0.00534940032790389,5362,CL
open_gap,fwd_ret_1,Easing-Contango,-0.0140602024940697,1373,CL
open_gap,fwd_ret_1,Stable-Depressed,-0.0160457227819051,808,CL
open_gap,fwd_ret_4,ALL,-0.00247019914604682,46248,CL
open_gap,fwd_ret_4,Stable-Elevated,0.0362112131818981,3863,CL
open_gap,fwd_ret_4,Backwardation-Deficit,0.0263615075707837,4430,CL
open_gap,fwd_ret_4,Transition-Tightening,-0.0249978873651545,1997,CL
open_gap,fwd_ret_4,Deep-Backwardation,-0.0249113055105174,8450,CL
open_gap,fwd_ret_4,Easing-Backwardation,-0.0110710789334318,11121,CL
open_gap,fwd_ret_4,Transition-Loosening,0.0224652380357364,1996,CL
