product,window,entry_time,exit_time,trade_date,direction,entry_px,exit_px,stop_px,target_px,atr_entry,exit_reason,pnl_raw,pnl_net,regime,signal_z,confidence
CL,test,2025-07-09T19:45:00Z,2025-07-09T23:45:00Z,2025-07-09,-1,1.42591666666667,1.39301282051284,1.42591666666667,1.37740260485922,0.0242570309037229,session_close,0.03290384615383,-0.00709615384616998,Deep-Backwardation,2.62072274505081,1
CL,test,2025-07-10T13:15:00Z,2025-07-10T15:00:00Z,2025-07-10,1,1.31922413793102,1.30234422033994,1.30234422033994,1.34623200607675,0.0135039340728657,stop,-0.0168799175910821,-0.0568799175910821,Deep-Backwardation,-1.47719805515533,1
CL,test,2025-07-10T15:15:00Z,2025-07-10T16:00:00Z,2025-07-10,1,1.29915789473685,1.28099865937858,1.28099865937858,1.32821267131008,0.0145273882866157,stop,-0.0181592353582696,-0.0581592353582696,Deep-Backwardation,-1.37202087465015,1
CL,test,2025-07-10T16:15:00Z,2025-07-10T16:45:00Z,2025-07-10,1,1.25619047619047,1.29733353040085,1.25619047619047,1.29733353040085,0.0205715271051907,target,0.0411430542103814,0.00114305421038145,Deep-Backwardation,-2.12372212749808,1
CL,test,2025-07-10T17:45:00Z,2025-07-10T18:00:00Z,2025-07-10,1,1.22777777777777,1.28387678745554,1.22777777777777,1.28387678745554,0.0280495048388857,target,0.0560990096777714,0.0160990096777714,Deep-Backwardation,-2.25447360573451,1
CL,test,2025-07-10T19:00:00Z,2025-07-10T19:45:00Z,2025-07-10,1,1.26571428571428,1.26571428571428,1.26571428571428,1.32090317785955,0.0275944460726357,stop,0,-0.04,Deep-Backwardation,-1.83097577203748,1
CL,test,2025-07-11T13:00:00Z,2025-07-11T15:15:00Z,2025-07-11,1,1.22033333333333,1.25132372579096,1.22033333333333,1.25132372579096,0.0154951962288143,target,0.0309903924576285,-0.00900960754237153,Deep-Backwardation,-1.67399411919348,1
CL,test,2025-07-11T18:45:00Z,2025-07-11T20:15:00Z,2025-07-11,-1,1.3475,1.3475,1.3475,1.29816969998749,0.024665150006255,stop,0,-0.04,Deep-Backwardation,2.32491421083215,1
CL,test,2025-07-14T13:00:00Z,2025-07-14T14:00:00Z,2025-07-14,-1,1.44431818181819,1.46535837014896,1.46535837014896,1.41065388048896,0.016832150664615,stop,-0.0210401883307687,-0.0610401883307687,Deep-Backwardation,1.28539262196945,1
CL,test,2025-07-14T14:15:00Z,2025-07-14T17:00:00Z,2025-07-14,-1,1.48045454545453,1.44270773075175,1.48045454545453,1.44270773075175,0.0188734073513893,target,0.0377468147027784,-0.00225318529722159,Deep-Backwardation,1.59193492525313,1
CL,test,2025-07-15T13:00:00Z,2025-07-15T13:15:00Z,2025-07-15,1,1.0855,1.12249527391062,1.0855,1.12249527391062,0.0184976369553086,target,0.0369952739106172,-0.00300472608938281,Deep-Backwardation,-1.20142146025084,1
CL,test,2025-07-15T14:45:00Z,2025-07-15T16:00:00Z,2025-07-15,1,1.06304924242424,1.1040220598974,1.06304924242424,1.1040220598974,0.0204864087365779,target,0.0409728174731558,0.000972817473155842,Deep-Backwardation,-1.31400373363366,1
CL,test,2025-07-15T17:30:00Z,2025-07-15T20:30:00Z,2025-07-15,1,1.02549450549451,1.02549450549451,1.02549450549451,1.06961958129017,0.0220625378978279,stop,0,-0.04,Deep-Backwardation,-1.32409285219455,1
CL,test,2025-07-16T16:00:00Z,2025-07-16T17:00:00Z,2025-07-16,1,1.04508928571428,1.04508928571428,1.04508928571428,1.09469924860472,0.0248049814452186,stop,0,-0.04,Deep-Backwardation,-1.33429618192078,1
CL,test,2025-07-16T18:00:00Z,2025-07-16T19:45:00Z,2025-07-16,1,1.04041666666666,1.08936468970505,1.04041666666666,1.08936468970505,0.0244740115191936,target,0.0489480230383872,0.00894802303838719,Deep-Backwardation,-1.17708651849045,1
